id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
ashby:remarcable-inc:a4f3aaaa-9469-42e8-a610-450d25eb5da7,Remarcable,Full Stack Developer (Student Co-op),Winter 2027,False,,Co-op,,Software,"Vancouver, BC",unknown,,CA$23 – CA$26,Python; JavaScript; SQL; Angular; HTML/CSS; Django; AWS; Docker,2026-09-01T19:47:46.438+00:00,exact,2026-09-03T19:49:36Z,https://jobs.ashbyhq.com/remarcable-inc/a4f3aaaa-9469-42e8-a610-450d25eb5da7
workday:generalmotors:/job/Markham-Ontario-Canada/XMLNAME-2027-Winter-Co-op-Lighting-Software-Development---Test_JR-202618179,General Motors,2027 Winter Co-op Lighting Software Development & Test,Winter 2027,False,,Co-op,,Software,"Markham, Ontario, Canada",unknown,928,,Python,2026-09-01T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Markham-Ontario-Canada/XMLNAME-2027-Winter-Co-op-Lighting-Software-Development---Test_JR-202618179
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Software-Development-Intern---Address-Intelligence-Platform_JR111611,Intelcom | Dragonfly,Software Development Intern - Address Intelligence Platform,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,Python; Java; C#; TypeScript; JavaScript; AWS; Azure,2026-09-01T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Software-Development-Intern---Address-Intelligence-Platform_JR111611
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Software-Development-Intern---Warehouse-Productivity_JR111578-1,Intelcom | Dragonfly,Software Development Intern - Warehouse Productivity,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,C#; Azure,2026-09-01T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Software-Development-Intern---Warehouse-Productivity_JR111578-1
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Front-End-Developer-Intern---Power-Platform-Integration_JR111615-1,Intelcom | Dragonfly,Front-End Developer Intern - Power Platform Integration,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,TypeScript; JavaScript; React; Azure; Git,2026-09-01T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Front-End-Developer-Intern---Power-Platform-Integration_JR111615-1
workday:tcenergy:/job/Calgary-Alberta/Student-Intern--Computer-Science_JR-10733,TC Energy,"Student Intern, Computer Science",Summer 2027,False,,Internship,,Software,"Calgary, Alberta",unknown,,,,2026-09-01T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://tcenergy.wd3.myworkdayjobs.com/CAREER_SITE_TC/job/Calgary-Alberta/Student-Intern--Computer-Science_JR-10733
workday:ciena:/job/Ottawa/Resourcing-and-Enablement-Intern_R030908,Ciena,AI & Automation Intern - GCN Services Business Operations,Not stated,True,,Internship,,Data & ML/AI,Ottawa,unknown,43,,,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://ciena.wd5.myworkdayjobs.com/careers/job/Ottawa/Resourcing-and-Enablement-Intern_R030908
workday:intelcomgroup:/job/Canada-Quebec-Montreal/DevOps-Intern_JR111562,Intelcom | Dragonfly,DevOps Intern,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,Python; Bash; AWS; Azure; Kubernetes; Docker; Terraform; Git,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/DevOps-Intern_JR111562
workday:intelcomgroup:/job/Canada-Quebec-Montreal/AI-Data-Analyst-Intern_JR111568,Intelcom | Dragonfly,AI Data Analyst Intern,Not stated,True,,Internship,,Data & ML/AI,"Canada, Quebec, Montreal",unknown,,,Python; Pandas,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/AI-Data-Analyst-Intern_JR111568
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Software-Developer-in-Test-Intern_JR111565,Intelcom | Dragonfly,Software Developer in Test Intern,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,Python; Java; C#,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Software-Developer-in-Test-Intern_JR111565
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Business-Intelligence--BI--Developer-Intern_JR111555,Intelcom | Dragonfly,Business Intelligence (BI) Developer Intern,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,SQL,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Business-Intelligence--BI--Developer-Intern_JR111555
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Site-Reliability-Engineering--SRE--Intern_JR111560,Intelcom | Dragonfly,Site Reliability Engineering (SRE) Intern,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,Python; Bash; AWS; GCP; Azure; Terraform,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Site-Reliability-Engineering--SRE--Intern_JR111560
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Full-Stack-Developer-Intern---Route-Optimization_JR111570-1,Intelcom | Dragonfly,Full-Stack Developer Intern - Route Optimization,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,Python; Java; C#; AWS; Azure,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Full-Stack-Developer-Intern---Route-Optimization_JR111570-1
